,year,state,district,party,d_eg,r_eg,state_code,le
0,1976,Alabama,1,republican,-0.24963415410065534,0.24963415410065534,AL,0.243361562
1,1976,Alabama,2,republican,-0.34791701308502065,0.34791701308502065,AL,0.481489182
2,1976,Alabama,3,democrat,-0.48968976751073595,0.48968976751073595,AL,2.1909680369999998
3,1976,Alabama,4,democrat,-0.107639954096647,0.107639954096647,AL,1.7587908509999999
4,1976,Alabama,5,democrat,-0.4999295526593871,0.4999295526593871,AL,0.564978004
5,1976,Alabama,6,republican,-0.36015087559531866,0.36015087559531866,AL,0.020175051
6,1976,Alabama,7,democrat,-0.49994570184885206,0.49994570184885206,AL,0.300772637
7,1976,Alaska,1,republican,-0.08101820519761777,0.08101820519761777,AK,0.7557820679999999
8,1976,Arizona,1,republican,-0.3334988906667301,0.3334988906667301,AZ,0.519589841
9,1976,Arizona,2,democrat,0.3117368004919617,-0.3117368004919617,AZ,9.415657997
10,1976,Arizona,3,democrat,0.4482221569203644,-0.4482221569203644,AZ,0.075656444
11,1976,Arizona,4,republican,-0.4962524140090819,0.4962524140090819,AZ,0.039089162000000004
12,1976,Arkansas,1,democrat,0.12288040193859535,-0.12288040193859535,AR,0.315449327
13,1976,Arkansas,2,democrat,-0.2276545728996999,0.2276545728996999,AR,0.094570555
14,1976,Arkansas,3,republican,0.0,0.0,AR,0.7973004579999999
15,1976,Arkansas,4,democrat,0.0,0.0,AR,0.400386959
16,1976,California,1,democrat,0.02106296309949497,-0.02106296309949497,CA,5.170519829
17,1976,California,2,republican,-0.35011290017223623,0.35011290017223623,CA,0.22823026800000001
18,1976,California,3,democrat,0.04286592930040552,-0.04286592930040552,CA,0.121050313
19,1976,California,4,democrat,0.4956964187583175,-0.4956964187583175,CA,7.103451729
20,1976,California,5,democrat,0.2631233830489884,-0.2631233830489884,CA,1.099640846
21,1976,California,6,democrat,0.10942130831983868,-0.10942130831983868,CA,4.724550724
22,1976,California,7,democrat,-0.014185838549711406,0.014185838549711406,CA,0.475462615
23,1976,California,8,democrat,0.22599185596636778,-0.22599185596636778,CA,1.228690863
24,1976,California,9,democrat,0.06329726079894885,-0.06329726079894885,CA,0.8289166090000001
25,1976,California,10,democrat,0.024565274730930307,-0.024565274730930307,CA,1.476257801
26,1976,California,11,democrat,0.2435667502866159,-0.2435667502866159,CA,0.163047299
27,1976,California,12,republican,-0.15048232981301146,0.15048232981301146,CA,0.14413318
28,1976,California,13,democrat,0.14384954420046295,-0.14384954420046295,CA,1.473155141
