,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,winner,wasted_votes,eg,le
1,1976,Alabama,AL,1,63,41,US House,1,gen,False,False,Jack Edwards,republican,False,total,98257,157170.0,False,20171005,1,19673.0,0.12316097375756922,0.481489182
5,1976,Alabama,AL,1,63,41,US House,2,gen,False,False,"William L. """"Bill"""" Dickinson",republican,False,total,90069,156362.0,False,20171005,1,11889.0,0.12316097375756922,0.020175051
6,1976,Alabama,AL,1,63,41,US House,3,gen,False,False,Bill Nichols,democrat,False,total,106935,108048.0,False,20171005,1,52912.0,-0.12316097375756922,0.300772637
9,1976,Alabama,AL,1,63,41,US House,4,gen,False,False,Tom Bevill,democrat,False,total,141490,176022.0,False,20171005,1,53480.0,-0.004448596146701343,9.415657997
12,1976,Alabama,AL,1,63,41,US House,5,gen,False,False,Ronnie G. Flippo,democrat,False,total,113553,113560.0,False,20171005,1,56774.0,-0.02072914026513975,0.315449327
16,1976,Alabama,AL,1,63,41,US House,6,gen,False,False,"John H. Buchanan, Jr.",democrat,False,total,92113,162518.0,False,20171005,1,10855.0,-0.0035405894389381114,5.170519829
17,1976,Alabama,AL,1,63,41,US House,7,gen,False,False,Walter Flowers,republican,False,total,110496,110501.0,False,20171005,1,55246.5,0.0035405894389381114,0.22823026800000001
19,1976,Alaska,AK,2,94,81,US House,0,gen,False,False,Don Young,democrat,False,total,83722,118208.0,False,20171005,1,24619.0,-0.0035405894389381114,7.103451729
23,1976,Arizona,AZ,4,86,61,US House,1,gen,False,False,John J. Rhodes,democrat,False,total,96397,168119.0,False,20171005,1,12338.5,-0.0035405894389381114,1.228690863
28,1976,Arizona,AZ,4,86,61,US House,2,gen,False,False,Morris K. Udall,democrat,False,total,106054,182128.0,False,20171005,1,14991.0,-0.0035405894389381114,1.473155141
30,1976,Arizona,AZ,4,86,61,US House,3,gen,False,False,Bob Stump,democrat,False,total,88854,187165.0,False,20171005,1,-4727.5,-0.0035405894389381114,1.416298509
33,1976,Arizona,AZ,4,86,61,US House,4,gen,False,False,Eldon Rudd,republican,False,total,93154,191590.0,False,20171005,1,-2640.0,0.0035405894389381114,0.8467679020000001
36,1976,Arkansas,AR,5,71,42,US House,1,gen,False,False,Bill Alexander,democrat,False,total,116217,168782.0,False,20171005,1,31827.0,-0.0035405894389381114,4.796281815
37,1976,Arkansas,AR,5,71,42,US House,2,gen,False,False,Jim Guy Tucker,republican,False,total,144780,167607.0,False,20171005,1,60977.5,0.0035405894389381114,0.325922787
40,1976,Arkansas,AR,5,71,42,US House,3,gen,False,False,John Paul Hammerschmidt,democrat,False,total,1,1.0,False,20171005,1,1.5,-0.0035405894389381114,0.44132924100000004
41,1976,Arkansas,AR,5,71,42,US House,4,gen,False,False,Ray Thornton,republican,False,total,1,1.0,False,20171005,1,1.5,0.0035405894389381114,0.200703725
43,1976,California,CA,6,93,71,US House,1,gen,False,False,Harold T. (Bizz) Johnson,democrat,False,total,160477,217016.0,False,20171005,1,51970.0,-0.0035405894389381114,0.9617174270000001
46,1976,California,CA,6,93,71,US House,2,gen,False,False,Don H. Clausen,republican,False,total,121290,216563.0,False,20171005,1,13009.5,-0.0035405894389381114,nan
48,1976,California,CA,6,93,71,US House,3,gen,False,False,John E. Moss,republican,False,total,139779,191854.0,False,20171005,1,43853.0,0.0035405894389381114,0.063047037
50,1976,California,CA,6,93,71,US House,4,gen,False,False,Robert L. Leggett,democrat,False,total,75844,151037.0,False,20171005,1,326.5,-0.0035405894389381114,0.158878535
52,1976,California,CA,6,93,71,US House,5,gen,False,False,John L. Burton,republican,False,total,103746,167754.0,False,20171005,1,19870.0,0.0035405894389381114,0.68138659
56,1976,California,CA,6,93,71,US House,6,gen,False,False,Phillip Burton,republican,False,total,86493,130916.0,False,20171005,1,21036.0,0.0035405894389381114,0.757075012
58,1976,California,CA,6,93,71,US House,7,gen,False,False,George Miller,republican,False,total,147064,196816.0,False,20171005,1,48657.0,0.0035405894389381114,0.218356892
62,1976,California,CA,6,93,71,US House,8,gen,False,False,Ronald V. Dellums,republican,False,total,122342,196954.0,False,20171005,1,23866.0,-0.05610783506089025,1.255191207
63,1976,California,CA,6,93,71,US House,9,gen,False,False,Fortney H. (Pete) Stark,republican,False,total,116398,164391.0,False,20171005,1,34203.5,-0.05610783506089025,0.10087525800000001
68,1976,California,CA,6,93,71,US House,10,gen,False,False,Don Edwards,republican,False,total,111992,155443.0,False,20171005,1,34271.5,-0.03316583080729384,0.180314526
69,1976,California,CA,6,93,71,US House,11,gen,False,False,Leo J. Ryan,democrat,False,total,107618,176194.0,False,20171005,1,19522.0,0.03316583080729384,0.529671669
74,1976,California,CA,6,93,71,US House,12,gen,False,False,"Paul N. """"Pete"""" McCloskey, Jr.",democrat,False,total,130332,196857.0,False,20171005,1,31904.5,-0.04841333925857102,0.314188391
77,1976,California,CA,6,93,71,US House,13,gen,False,False,Norman Y. Mineta,democrat,False,total,135291,202611.0,False,20171005,1,33986.5,-0.04841333925857102,0.681778193
78,1976,California,CA,6,93,71,US House,14,gen,False,False,John J. McFall,democrat,False,total,123285,169959.0,False,20171005,1,38306.5,-0.04841333925857102,0.106304958
80,1976,California,CA,6,93,71,US House,15,gen,False,False,B. F. Sisk,republican,False,total,92735,128435.0,False,20171005,1,28518.5,0.04841333925857102,0.13996441699999998
83,1976,California,CA,6,93,71,US House,16,gen,False,False,Leon E. Panetta,democrat,False,total,104545,195705.0,False,20171005,1,6693.5,-0.04841333925857102,1.181393504
84,1976,California,CA,6,93,71,US House,17,gen,False,False,John Krebs,democrat,False,total,103898,158168.0,False,20171005,1,24815.0,-0.04841333925857102,2.2997896669999998
87,1976,California,CA,6,93,71,US House,18,gen,False,False,William M. Ketchum,democrat,False,total,101658,158341.0,False,20171005,1,22488.5,0.005212026175533688,0.9256070259999999
89,1976,California,CA,6,93,71,US House,19,gen,False,False,Robert J. Lagomarsino,democrat,False,total,124201,192923.0,False,20171005,1,27740.5,0.005212026175533688,1.109247446
90,1976,California,CA,6,93,71,US House,20,gen,False,False,"Barry Goldwater, Jr.",democrat,False,total,146158,217351.0,False,20171005,1,37483.5,0.005212026175533688,0.437356272
92,1976,California,CA,6,93,71,US House,21,gen,False,False,James C. Corman,democrat,False,total,101837,153109.0,False,20171005,1,25283.5,0.005212026175533688,0.10844090599999999
95,1976,California,CA,6,93,71,US House,22,gen,False,False,Carlos J. Moorhead,democrat,False,total,114769,183312.0,False,20171005,1,23114.0,0.005212026175533688,0.141439512
98,1976,California,CA,6,93,71,US House,23,gen,False,False,Anthony C. Beilenson,republican,False,total,130619,217053.0,False,20171005,1,22093.5,0.22351472768910843,0.22066462
100,1976,California,CA,6,93,71,US House,24,gen,False,False,Heny A. Waxman,democrat,False,total,108296,159774.0,False,20171005,1,28410.0,-0.021807009793805118,0.39829909799999996
103,1976,California,CA,6,93,71,US House,25,gen,False,False,Edward R. Roybal,republican,False,total,57966,80625.0,False,20171005,1,17654.5,0.021807009793805118,0.10339713800000001
104,1976,California,CA,6,93,71,US House,26,gen,False,False,John H. Rousselot,democrat,False,total,112619,171712.0,False,20171005,1,26764.0,-0.021807009793805118,0.031523518
107,1976,California,CA,6,93,71,US House,27,gen,False,False,Robert K. Dornan,democrat,False,total,114623,209611.0,False,20171005,1,9818.5,-0.021807009793805118,5.520271301
109,1976,California,CA,6,93,71,US House,28,gen,False,False,Yvonne Brathwaite Burke,democrat,False,total,114612,142915.0,False,20171005,1,43155.5,-0.021807009793805118,0.77488637
112,1976,California,CA,6,93,71,US House,29,gen,False,False,"Augustus F. """"Gus"""" Hawkins",republican,False,total,82515,96602.0,False,20171005,1,34215.0,0.021807009793805118,0.07817832400000001
114,1976,California,CA,6,93,71,US House,30,gen,False,False,Georg E. Danielson,republican,False,total,82767,111270.0,False,20171005,1,27133.0,0.021807009793805118,0.151312888
115,1976,California,CA,6,93,71,US House,31,gen,False,False,Charles II. Wilson,republican,False,total,83155,83155.0,False,20171005,1,41578.5,0.021807009793805118,0.172748879
117,1976,California,CA,6,93,71,US House,32,gen,False,False,Glenn M. Anderson,republican,False,total,92034,127428.0,False,20171005,1,28321.0,0.021807009793805118,0.268580377
118,1976,California,CA,6,93,71,US House,33,gen,False,False,Del Clawson,republican,False,total,95398,173205.0,False,20171005,1,8796.5,0.021807009793805118,0.243361562
121,1976,California,CA,6,93,71,US House,34,gen,False,False,Mark W. Hannaford,democrat,False,total,100988,199135.0,False,20171005,1,1421.5,-0.021807009793805118,1.675029516
122,1976,California,CA,6,93,71,US House,35,gen,False,False,Jim Lloyd,democrat,False,total,87472,164237.0,False,20171005,1,5354.5,-0.021807009793805118,6.136074066
124,1976,California,CA,6,93,71,US House,36,gen,False,False,"George E. Brown, Jr.",democrat,False,total,90830,147556.0,False,20171005,1,17053.0,0.04399356007124391,0.15278798300000002
129,1976,California,CA,6,93,71,US House,37,gen,False,False,Shirley N. Pettis,democrat,False,total,133634,188007.0,False,20171005,1,39631.5,0.04399356007124391,0.045393866
131,1976,California,CA,6,93,71,US House,38,gen,False,False,Jerry Patterson,democrat,False,total,103317,162409.0,False,20171005,1,22113.5,0.04399356007124391,0.195659965
133,1976,California,CA,6,93,71,US House,39,gen,False,False,Charles E. Wiggins,democrat,False,total,122657,209402.0,False,20171005,1,17957.0,0.04399356007124391,0.045393866
135,1976,California,CA,6,93,71,US House,40,gen,False,False,Robert E. Badham,republican,False,total,148512,250644.0,False,20171005,1,23191.0,-0.005168355278932851,0.263536602
136,1976,California,CA,6,93,71,US House,41,gen,False,False,Bob C. Wilson,democrat,False,total,128784,223374.0,False,20171005,1,17098.0,0.005168355278932851,0.38777756700000005
139,1976,California,CA,6,93,71,US House,42,gen,False,False,Lionel Van Deerlin,democrat,False,total,103062,135627.0,False,20171005,1,35249.5,0.005168355278932851,0.122311249
140,1976,California,CA,6,93,71,US House,43,gen,False,False,Clair W. Burgener,democrat,False,total,173576,267051.0,False,20171005,1,40051.5,0.005168355278932851,1.169772625
144,1976,Colorado,CO,8,84,62,US House,1,gen,False,False,Patricia Schroeder,democrat,False,total,103037,193610.0,False,20171005,1,6233.0,0.031143687518227315,0.174009815
147,1976,Colorado,CO,8,84,62,US House,2,gen,False,False,Timothy E. Wirth,democrat,False,total,121340,240278.0,False,20171005,1,1202.0,-0.022241531470094385,1.688899875
151,1976,Colorado,CO,8,84,62,US House,3,gen,False,False,Frank E. Evans,democrat,False,total,89302,175232.0,False,20171005,1,1687.0,-0.022241531470094385,0.090787731
153,1976,Colorado,CO,8,84,62,US House,4,gen,False,False,James P. (Jim) Johnson,republican,False,total,119458,221018.0,False,20171005,1,8950.0,-0.026025457719463845,0.017022699
157,1976,Colorado,CO,8,84,62,US House,5,gen,False,False,William L. Armstrong,democrat,False,total,126784,190851.0,False,20171005,1,31359.5,-0.026025457719463845,0.44870472
160,1976,Connecticut,CT,9,16,1,US House,1,gen,False,False,William R. Cotter,democrat,False,total,128479,225076.0,False,20171005,1,15942.0,-0.026025457719463845,0.025218815
164,1976,Connecticut,CT,9,16,1,US House,2,gen,False,False,Christopher J. Dodd,democrat,False,total,142684,219308.0,False,20171005,1,33031.0,-0.07155191788360037,1.735554695
171,1976,Connecticut,CT,9,16,1,US House,3,gen,False,False,Robert N. Giaimo,republican,False,total,121623,222643.0,False,20171005,1,10302.5,0.0007894124440518545,1.468829751
